sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:abrupt:adjective:1,abrupt,adjective,突然的，粗暴的,adj 突然的，粗暴的,/ə'brʌpt/,/ə'brʌpt/,an abrupt change of plan,计划的突然改变
en:absorb:verb:1,absorb,verb,吸收；吸引,v 吸收；吸引,/æbˈsɔrb; æbˈzɔrb; əbˈsɔrb/,/əb'zɔːb; -'sɔːb/,Plants absorb nutrients from the soil.,植物从土壤中吸收养分。
en:abstract:adjective:1,abstract,adjective,抽象的,adj 抽象的；n (书籍、演说等的)摘要,/'æbstrækt/,/'æbstrækt/,"By the age of seven, children are capable of thinking in abstract terms .",儿童到了七岁就具有抽象思维的能力。
en:absurd:adjective:1,absurd,adjective,可笑的，荒谬的,adj 可笑的，荒谬的,"/əbˈsɚd, -ˈzɚd/",/əb'sɜːd/,It seems an absurd idea.,这似乎是个荒唐的想法。
en:abundance:noun:1,abundance,noun,丰富,n 丰富,/ə'bʌndəns/,/ə'bʌnd(ə)ns/,This area of Mexico has an abundance of safe beaches and a pleasing climate.,墨西哥的这个地区有大量的安全沙滩与宜人的气候。
en:abuse:noun:1,abuse,noun,滥用；恶习；辱骂,n&vt 滥用；恶习；辱骂,/ə'bjus/,/ə'bjuːz/,A self-monitoring tax system is clearly open to abuse (= able to be used wrongly ) .,自我监督的税收制度明显会被滥用。
en:academic:adjective:1,academic,adjective,学术的；学校的,adj 学术的；学校的,"/,ækə'dɛmɪk/",/ækə'demɪk/,He possessed no academic qualifications.,他没有学历。
en:accelerate:verb:1,accelerate,verb,加速，变快,v 加速，变快,/əkˈsɛləˌret/,/ək'seləreɪt/,measures to accelerate the rate of economic growth,加快经济增长速度的措施
en:access:noun:1,access,noun,通路,n 通路,/'æksɛs/,/'ækses/,Access is by means of a small door on the right.,入口是右边的一扇小门。
en:accessory:noun:1,accessory,noun,同谋者；附件,n 同谋者；附件,/ək'sɛsəri/,/ək'ses(ə)rɪ/,bathroom accessories such as mirrors and towel-rails,镜子和毛巾架等浴室配件
en:air:noun:1,air,noun,空气,n 空气,/ɛr/,/eə/,Let’s go outside and get some fresh air.,我们出去呼吸些新鲜空气吧。
en:airing:noun:1,airing,noun,通风；讨论,n 通风；讨论,/'ɛrɪŋ/,/'eərɪŋ/,give them an airing.,把室内盆栽植物搬出去透透气。
en:aisle:noun:1,aisle,noun,通道,n 通道,/aɪl/,/aɪl/,Would you like a window seat or an aisle seat (= seat next to the aisle ) ?,您想要靠窗的座位还是靠过道的座位？
en:alarm:noun:1,alarm,noun,警报，惊慌,n 警报，惊慌；v 使忧虑,/ə'lɑrm/,/ə'lɑːm/,I forgot to set the burglar alarm.,我忘记打开防盗警报器了。
en:album:noun:1,album,noun,集邮册；相片册,n 集邮册；相片册,/'ælbəm/,/'ælbəm/,a photograph album,相册
en:alien:noun:1,alien,noun,外侨；外国人的；不相容的,n&a 外侨；外国人的；不相容的,"/ˈeliən,ˈeljən/",/'eɪlɪən/,illegal aliens entering the country.,非法入境的外国人
en:alienate:verb:1,alienate,verb,离间，使疏远,v 离间，使疏远,/'eiljəneit/,/'eɪlɪəneɪt/,The latest tax proposals will alienate many voters.,最新的纳税提案将失去远许多选民的支持。
en:all:adverb:1,all,adverb,完全地,adv 完全地；pron 全部，全体,/ɔl/,/ɔːl/,"You shouldn’t be sitting here by yourself, all alone.",你不应该一个人孤零零地坐在这儿。
en:apparent:adjective:1,apparent,adjective,明显的，表面上的,adj 明显的，表面上的,/ə'pærənt/,/ə'pær(ə)nt/,The difference in quality was immediately apparent .,质量的差异显而易见。
en:appeal:verb:1,appeal,verb,呼吁，上诉；吸引(力),vi&n 呼吁，上诉；吸引(力),/ə'pil/,/ə'piːl/,The girl’s family have made a public appeal for help to try and catch her killer.,那名遇害女孩的家人吁请公众协助捉拿凶手。
en:appendix:noun:1,appendix,noun,附录；阑尾,n 附录；阑尾,/ə'pɛndɪks/,/ə'pendɪks/,Christine had to go into hospital to have her appendix out (= have it removed ) .,克里丝蒂娜不得不去医院切除阑尾。
en:appetite:noun:1,appetite,noun,食欲,n 食欲,/'æpɪtaɪt/,/'æpɪtaɪt/,Her husband always had a huge appetite.,她丈夫向来胃口极大。
en:applaud:verb:1,applaud,verb,鼓掌欢迎；赞成,v 鼓掌欢迎；赞成,/ə'plɔd/,/ə'plɔːd/,The audience applauded loudly.,观众掌声雷动。
en:appliance:noun:1,appliance,noun,用具，设备，装置,n 用具，设备，装置,/ə'plaɪəns/,/ə'plaɪəns/,"The device most often used to do this is a load balancer, which is an appliance that accepts requests from the outside world and hands them off to the next available application server.",进行这一操作最常用的设备是一个负载均衡器，这是一个从外部接收请求并将它们移交给下一个可用应用程序服务器的装置。
en:applicant:noun:1,applicant,noun,请求者，申请者,n 请求者，申请者,/'æplɪkənt/,/'æplɪk(ə)nt/,We have had lots of applicants for these positions.,对这些职位我们已有了很多申请人。
en:apply:verb:1,apply,verb,要求，申请,v 要求，申请,/ə'plaɪ/,/ə'plaɪ/,We need to apply for planning permission to build a garage.,我们建车库需要申请规划许可。
en:appointment:noun:1,appointment,noun,职位；约会,n 职位；约会,/ə'pɔɪntmənt/,/ə'pɒɪntm(ə)nt/,All consultations are by appointment only .,就诊必须预约。
en:appraisal:noun:1,appraisal,noun,估价，评价；鉴定,n 估价，评价；鉴定,/ə'prezl/,/ə'preɪz(ə)l/,What is needed in such cases is a calm appraisal of the situation.,在此类情况下需要的是对形势的冷静估计。
en:appreciable:adjective:1,appreciable,adjective,可见的；明显的,adj 可见的；明显的,/ə'priʃəbl/,/ə'priːʃəb(ə)l; -ʃɪə-/,There’s no appreciable change in the patient’s condition.,病人的状况没有明显改变。
en:appreciate:verb:1,appreciate,verb,欣赏，感激；涨价,v 欣赏，感激；涨价,/ə'priʃɪet/,/ə'priːʃɪeɪt; -sɪ-/,"Thanks ever so much for your help, I really appreciate it.",多谢你的帮助，我真的很感激。
en:apprehension:noun:1,apprehension,noun,理解；忧虑,n 理解；忧虑,"/,æprɪ'hɛnʃən/",/æprɪ'henʃ(ə)n/,a feeling of apprehension,担忧的心情
en:apprentice:noun:1,apprentice,noun,学徒,n 学徒；v 使当学徒,/ə'prɛntɪs/,/ə'prentɪs/,The apprentice lingered his work.,这个徒弟磨洋工。
en:approach:verb:1,approach,verb,接近，着手处理,v 接近，着手处理；n 接近；方法；途径,/ə'protʃ/,/ə'prəʊtʃ/,"As I approached the house, I noticed a light on upstairs.",我走近那幢房子的时候注意到楼上有灯光。
en:appropriate:adjective:1,appropriate,adjective,合适的,adj 合适的,/əˈpropriɪt/,/ə'prəʊprɪət/,The timing of the announcement was particularly appropriate .,通告发布的时机很合适。
en:approval:noun:1,approval,noun,允许，赞同；批准,n 允许，赞同；批准,/əˈpruvl/,/ə'pruːv(ə)l/,The president has already given his approval to the plan.,总统已经批准了这个计划。
en:approximate:adjective:1,approximate,adjective,近似的，约略的,adj 近似的，约略的；v 接近，近似,/ə'prɑksɪmət/,/ə'prɒksɪmət/,What is the approximate number of students in each class?,每个班大致有多少学生？
en:apt:adjective:1,apt,adjective,聪明的；合适的；易于的,adj 聪明的；合适的；易于的,/æpt/,/æpt/,‘Love at first sight’ is a very apt description of how he felt when he saw her.,用“一见钟情”来形容他见到她时的感觉再恰当不过。
en:aptitude:noun:1,aptitude,noun,才能；能力,n 才能；能力,"/ˈæptɪˌtud, -ˌtjud/",/'æptɪtjuːd/,aptitude test,能力倾向测验；才能测验；能力测试
en:attractive:adjective:1,attractive,adjective,有吸引力的，讨人喜欢的,adj 有吸引力的，讨人喜欢的,/ə'træktɪv/,/ə'træktɪv/,an attractive young woman,妩媚动人的年轻女子
en:attribute:verb:1,attribute,verb,归因于,v 归因于；n 属性；象征；标志,/ə'trɪbjut/,/ə'trɪbjuːt/,Women tend to attribute their success to external causes such as luck.,女性往往把她们的成功归因于外因，如运气。
en:auction:noun:1,auction,noun,拍卖,n&vt 拍卖,/'ɔkʃən/,/'ɔːkʃ(ə)n/,"The painting is expected to fetch up to $400,000 at auction.",这幅画预计在拍卖会上能卖到40万美元。
en:audible:adjective:1,audible,adjective,听得见的,adj 听得见的,/'ɔdəbl/,/'ɔːdɪb(ə)l/,His voice was barely audible (= could only just be heard ) above the roar of the crowd.,人声嘈杂，几乎听不见他的说话声。
en:audience:noun:1,audience,noun,听众，读者；接见,n 听众，读者；接见,/'ɔdɪəns/,/'ɔːdɪəns/,The audience began clapping and cheering.,观众开始鼓掌欢呼。
en:audit:noun:1,audit,noun,审计；查账,n&vt 审计；查账,/'ɔdɪt/,/'ɔːdɪt/,the annual audit,年度审计
en:audition:noun:1,audition,noun,试听；试演；面试,n 试听；试演；面试,/ɔ'dɪʃən/,/ɔː'dɪʃ(ə)n/,...an audition for a Broadway musical.,…一部百老汇歌舞剧的试演。
en:auditorium:noun:1,auditorium,noun,会堂；礼堂,n 会堂；礼堂,"/,ɔdɪ'tɔrɪəm/",/ɔːdɪ'tɔːrɪəm/,...a high school auditorium.,…一所中学的礼堂。
en:augment:verb:1,augment,verb,增大，增加,v 增大，增加,/ɔɡ'mɛnt/,/ɔːg'ment/,Any surplus was sold to augment their income.,所有多余的东西被售卖一空来增加他们的收入。
en:aupair:adjective:1,aupair,adjective,国外来的(姑娘)帮助料理家务换取住宿的,adj 国外来的(姑娘)帮助料理家务换取住宿的,,,,
en:authentic:adjective:1,authentic,adjective,真实的，可靠的,adj 真实的，可靠的,/ɔ'θɛntɪk/,/ɔː'θentɪk/,an authentic work by Picasso,毕加索的真迹
en:authoritative:adjective:1,authoritative,adjective,有权威的；命令的；可靠的,adj 有权威的；命令的；可靠的,/ə'θɔrətetɪv/,"/ɔː'θɒrɪtətɪv; -,teɪtɪv/",the most authoritative work on English surnames,有关英语姓氏的最权威著作
en:authority:noun:1,authority,noun,威信；当局；权威；权力,n 威信；当局；权威；权力,/ə'θɔrəti/,/ɔː'θɒrɪtɪ/,an agreement between the US and Colombian authorities,美国和哥伦比亚当局的一份协议
en:authorize:verb:1,authorize,verb,授权,v 授权,/'ɔθəraɪz/,/'ɔ:θəraiz/,an authorized biography,授权传记
en:automatic:adjective:1,automatic,adjective,自动的，无意识的,adj 自动的，无意识的；n 小型自动武器,/'ɔtə'mætɪk/,/ɔːtə'mætɪk/,an automatic weapon,自动武器
en:automation:noun:1,automation,noun,自动化，自动操作,n 自动化，自动操作,"/,ɔtə'meʃən/",/ɔːtə'meɪʃ(ə)n/,industrial automation,工业自动化
en:automobile:noun:1,automobile,noun,汽车,n 汽车,"/,ɔtəmə'bil/",/'ɔːtəməbiːl/,the automobile industry,汽车工业
en:autonomy:noun:1,autonomy,noun,自治，自治权,n 自治，自治权,/ɔ'tɑnəmi/,/ɔː'tɒnəmɪ/,campaigners who want greater autonomy for Corsica,希望科西嘉有更多自治权的活动家
en:auxiliary:adjective:1,auxiliary,adjective,辅助的，协助的,adj 辅助的，协助的,/ɔːɡ'zɪlɪəri/,/ɔːg'zɪlɪərɪ; ɒg-/,an auxiliary nurse,助理护士
en:avail:verb:1,avail,verb,有益于，有用,v 有益于，有用；n 用处，利益,/ə'vel/,/ə'veɪl/,Guests should feel at liberty to avail themselves of your facilities.,客人们应可以随意使用你们的设施。
en:available:adjective:1,available,adjective,可获得的，可用的,adj 可获得的，可用的,/ə'veləbl/,/ə'veɪləb(ə)l/,Tickets are available from the box office.,售票处有票出售。
en:censor:noun:1,censor,noun,审查，审查员；删改,n&vt 审查，审查员；删改,/'sɛnsɚ/,/'sensə/,The information given to the press was carefully censored by the Ministry of Defence.,发布给报界的信息经过了国防部的仔细审查。
en:census:noun:1,census,noun,人口调查,n 人口调查,/'sɛnsəs/,/'sensəs/,a traffic census,交通状况调查
en:centenary:adjective:1,centenary,adjective,百年的；百年纪念,a&n 百年的；百年纪念,/sɛn'tɛnəri/,/sen'tiːnərɪ; -'ten-/,"Some say he was alluding to the centenary of the Fabian Society, founded in 1884.",有些人说他是暗示1884年成立的费边社成立一百年。
en:ceramic:adjective:1,ceramic,adjective,陶瓷的；陶器的,adj 陶瓷的；陶器的,/sə'ræmɪk/,/sɪ'ræmɪk/,"This takes a little while to switch all of your plastic storage containers over to ceramic, glass or stainless steel but its definitely worthwhile.",把你所有的塑料存储容器换成陶瓷的，玻璃的，或者不锈钢的你会浪费你一点时间。 但这绝对是值得的。
en:cereal:noun:1,cereal,noun,各类粮食,n 各类粮食,/'sɪrɪəl/,/'sɪərɪəl/,a bowl of breakfast cereal,一碗早餐麦片
en:ceremony:noun:1,ceremony,noun,典礼，仪式；礼节,n 典礼，仪式；礼节,/ˈsɛrəˌmoʊni/,/'serɪmənɪ/,a wedding ceremony,婚礼
en:certainty:noun:1,certainty,noun,必然的事，必然，确实，肯定,n 必然的事，必然，确实，肯定,/'sɝtnti/,/'sɜːt(ə)ntɪ; -tɪn-/,The result is impossible to predict with any degree of certainty .,这一结果完全无法确切预测。
en:certificate:noun:1,certificate,noun,证书，执照,n 证书，执照,"/sɚˈtɪfɪkɪt; (for v.,) sɚˈtɪfɪˌket/","/səˈtɪfɪkɪt; (for v.,) səˈtɪfɪˌkeɪt/",a degree certificate,学位证书
en:certify:verb:1,certify,verb,(发给证书)证明,v (发给证书)证明,/'sɝtə'fai/,/'sɜːtɪfaɪ/,The accounts were certified by an auditor.,这些账目经审计员核实过。
en:challenge:noun:1,challenge,noun,挑战；提出异议,n&v 挑战；提出异议,/'tʃælɪndʒ/,/'tʃælɪn(d)ʒ/,They threw down the challenge that he couldn’t wash 40 cars in one hour (= invited him to try to do it ) .,他们激将他，说他不可能在1小时内擦洗40辆汽车。
en:chamber:noun:1,chamber,noun,房间；议院；贸易团体；弹膛,n 房间；议院；贸易团体；弹膛,/ˈtʃeɪmbər/,/'tʃeɪmbə/,the Queen’s private chambers,女王的寝宫
en:champagne:noun:1,champagne,noun,香槟酒,n 香槟酒,/ʃæm'pen/,/ʃæm'peɪn/,I drank a cup of champagne.,我喝了一杯香槟。
en:champion:noun:1,champion,noun,战士；拥护者；冠军,n 战士；拥护者；冠军；v 支持，拥护；保卫,/'tʃæmpɪən/,/'tʃæmpɪən/,the world heavyweight boxing champion,世界重量级拳击冠军
en:chant:noun:1,chant,noun,圣歌，赞美诗,n 圣歌，赞美诗；v 唱，歌颂,/tʃænt/,/tʃɑːnt/,...a Gregorian chant.,…一首格列高利圣歌。
en:chaos:noun:1,chaos,noun,混乱，纷乱,n 混乱，纷乱,/'keɑs/,/'keɪɒs/,The country was plunged into economic chaos.,这个国家陷入了经济大混乱。
en:chapel:noun:1,chapel,noun,小教堂；殡仪馆,n 小教堂；殡仪馆,/'tʃæpl/,/'tʃæp(ə)l/,Bethan goes to chapel every Sunday.,贝唐每个星期天都去教堂做礼拜。
en:characteristic:adjective:1,characteristic,adjective,特有的，表示特征的；特性,a&n 特有的，表示特征的；特性,"/,kærəktə'rɪstɪk/",/kærəktə'rɪstɪk/,Genes determine the characteristics of every living thing.,基因决定每个生物的特征。
en:characterize:verb:1,characterize,verb,表示的特征,v 表示的特征,/'kærəktə'raɪz/,/'kærəktəraiz/,Bright colours characterize his paintings.,明亮的色彩是他绘画作品的特点。
en:charge:verb:1,charge,verb,指控；控告；冲锋；要价；充电,v 指控；控告；冲锋；要价；充电,/tʃɑrdʒ/,/tʃɑːdʒ/,Even local nurseries charge $150 a week.,即便当地的托儿所每周也要收$150的费用。
en:charity:noun:1,charity,noun,赈济款、物；慈善团体；博爱,n 赈济款、物；慈善团体；博爱,/'tʃærəti/,/'tʃærɪtɪ/,Several charities sent aid to the flood victims.,有几家慈善机构已向洪灾灾民送去了救援物资。
en:charm:noun:1,charm,noun,吸引力，可爱之处，迷人；行魔法,n&v 吸引力，可爱之处，迷人；行魔法,/tʃɑrm/,/tʃɑːm/,Joe’s boyish charm,乔身上的稚趣
en:clumsy:adjective:1,clumsy,adjective,笨拙的；愚笨的,adj 笨拙的；愚笨的,/'klʌmzi/,/'klʌmzɪ/,A clumsy waiter spilled wine all over her new skirt.,一名笨手笨脚的服务员把葡萄酒洒得她新裙子上到处都是。
en:cluster:noun:1,cluster,noun,一串，一簇,n 一串，一簇；v 群集；丛生,/'klʌstɚ/,/'klʌstə/,a diamond cluster ring,群镶钻戒
en:clutch:verb:1,clutch,verb,抓住，攫住,v 抓住，攫住；n 抓，控制；离合器，攫,/klʌtʃ/,/klʌtʃ/,He clutched at a pillar for support.,他猛地抓住一根柱子作支撑。
en:coach:verb:1,coach,verb,辅导，训练,v 辅导，训练；n 长途汽车；教师；教练,/kotʃ/,/kəʊtʃ/,Nigel coaches a cricket team in his spare time.,奈杰尔业余时间担任一个板球队的教练。
en:coalition:noun:1,coalition,noun,结合，联盟，联合,n 结合，联盟，联合,/ˌkoʊəˈlɪʃn/,"/,kəʊə'lɪʃ(ə)n/",the centre-right coalition government,政治上中间偏右的联合政府
en:coarse:adjective:1,coarse,adjective,粗(糙)的; 粗俗的,adj 粗(糙)的; 粗俗的,/kɔrs/,/kɔːs/,a jacket of coarse wool,粗羊毛夹克衫
en:cocaine:noun:1,cocaine,noun,可卡因，古柯碱,n 可卡因，古柯碱,/ko'ken/,/kə(ʊ)'keɪn/,The police report said she was doing cocaine.,警方报告说她正在吸可卡因。
en:code:noun:1,code,noun,规则；代号；密码,n 规则；代号；密码；vt 把译成密码,,,,
en:coed:noun:1,coed,noun,男女同校的学生,n 男女同校的学生,/'ko'ɛd/,/'kəʊed; kəʊ'ed/,...two University of Florida coeds.,...两名佛罗里达大学的女生。
en:coeducation:noun:1,coeducation,noun,男女同校,n 男女同校,"/,koɛdʒə'keʃən/","/'kəʊ,edjuːkeɪʃən/","It is true that a majority of faculty members voted in favor of coeducation, arguing that it would encourage more students to apply to Grove.",确实有大部分员工投票赞成男女同校，认为这会使更多的学生申请Grove。
en:coerce:verb:1,coerce,verb,强迫，迫使,v 强迫，迫使,/ko'ɝs/,/kəʊ'ɜːs/,Potter had argued that the government coerced him into pleading guilty.,波特曾争辩说是政府胁迫他认罪。
en:cognitive:adjective:1,cognitive,adjective,认识的,adj 认识的,/'kɑɡnətɪv/,/'kɒɡnɪtɪv/,cognitive psychology,认知心理学
en:coherent:adjective:1,coherent,adjective,黏着的；连贯的,adj 黏着的；连贯的,/ko'hɪrənt/,/kə(ʊ)'hɪər(ə)nt/,The three years of the course are planned as a coherent whole.,这三年的课程是作为连贯的整体来安排的。
en:coil:noun:1,coil,noun,一卷；一圈,n 一卷；一圈；v 盘绕，缠绕,/kɔɪl/,/kɒɪl/,the coil in a light bulb,灯丝
en:coin:noun:1,coin,noun,硬币，铸币,n 硬币，铸币；v 铸造，创造,/kɔɪn/,/kɒɪn/,Toss a coin to see who goes first.,抛硬币决定谁先来。
en:coincide:verb:1,coincide,verb,恰好相合，时间巧合；意见一致,v 恰好相合，时间巧合；意见一致,"/,koɪn'saɪd/","/,kəʊɪn'saɪd/",The interests of the US and those of the islanders may not coincide.,美国的利益和这些岛民的利益可能并不一致。
en:coincidence:noun:1,coincidence,noun,巧合，符合，巧合的事例,n 巧合，符合，巧合的事例,/ko'ɪnsɪdəns/,/kəʊ'ɪnsɪd(ə)ns/,‘I’m going to Appleby tomorrow.’ ‘ What a coincidence ! I’m going there too.’,“明天我要去阿普尔比。”“太巧了！我也要去那里。”
en:collaboration:noun:1,collaboration,noun,协作，合作,n 协作，合作,"/kə,læbə'reʃən/",/kəlæbə'reɪʃn/,The company is building the centre in collaboration with the Institute of Offshore Engineering.,该公司正与海洋工程学院合建这座中心。
en:collapse:verb:1,collapse,verb,倒塌；(精神)垮下来,v&n 倒塌；(精神)垮下来,/kə'læps/,/kə'læps/,Uncle Ted’s chair collapsed under his weight.,椅子承受不了特德叔叔的重量，塌架了。
en:collide:verb:1,collide,verb,猛冲，冲突，抵触,v 猛冲，冲突，抵触,/kə'laɪd/,/kə'laɪd/,The aims of the negotiators in New York again seem likely to collide with the aims of the warriors in the field.,纽约谈判者的目标看起来可能再次与战场上勇士们的目标相冲突。
en:collision:noun:1,collision,noun,碰，幢;冲突,n 碰，幢;冲突,/kə'lɪʒən/,/kə'lɪʒ(ə)n/,Two people were killed in a head-on collision (= between two vehicles that are moving directly towards each other ) on highway 218.,218号公路上有两辆汽车迎面相撞，两人死亡。
en:compliance:noun:1,compliance,noun,遵守，依从,n 遵守，依从,/kəm'plaɪəns/,/kəm'plaɪəns/,Inspectors were sent to visit nuclear sites and verify compliance with the treaty.,监察员被派去参观核址并核实条约的遵守情况。
en:complicated:adjective:1,complicated,adjective,结构复杂的；困难的,adj 结构复杂的；困难的,/'kɑmplɪketɪd/,/'kɒmplɪkeɪtɪd/,a complicated pattern,复杂的图案
en:complication:noun:1,complication,noun,结构复杂，麻烦,n 结构复杂，麻烦,"/,kɑmplɪ'keʃən/",/kɒmplɪ'keɪʃ(ə)n/,The fact that the plane was late added a further complication to our journey.,飞机误点给我们的旅行带来了更大的麻烦。
en:compliment:noun:1,compliment,noun,敬意，赞扬；问候,n 敬意，赞扬；问候；v 恭维；称赞,/ˈkɑːmplɪmənt/,/'kɒmplɪm(ə)nt/,With the compliments of J. Smith & Son. J.,史密斯父子公司敬赠。
en:comply:verb:1,comply,verb,遵守，照做,v 遵守，照做,/kəm'plaɪ/,/kəm'plaɪ/,The newspaper was asked by federal agents for assistance and agreed to comply.,联邦探员要求这家报社给予协助，报社同意配合。
en:component:noun:1,component,noun,组成部分；零件,n 组成部分；零件,/kəm'ponənt/,/kəm'pəʊnənt/,companies that make electronic components for computer products,为计算机产品生产电子零件的公司
en:compose:verb:1,compose,verb,组成，构成；创作；排字；使安静,v 组成，构成；创作；排字；使安静,/kəm'poz/,/kəm'pəʊz/,Barrington has composed the music for a new production of ‘A Midsummer Night’s Dream’.,巴林顿为新版的《仲夏夜之梦》谱了曲。
en:composite:adjective:1,composite,adjective,合成的，复合的,adj 合成的，复合的,/kɑm'pɑzɪt/,/'kɒmpəzɪt/,The author builds up a useful compo-site picture of contemporary consumer culture.,作者勾勒出了一幅实用的当代消费文化全景图。
en:compound:noun:1,compound,noun,混合物(的)，复合词(的)；院子(的),n&a 混合物(的)，复合词(的)；院子(的),/'kɑmpaʊnd/,/'kɒmpaʊnd/,man-made organic compounds,人造有机化合物
en:compress:verb:1,compress,verb,使语言精炼，压缩,v 使语言精炼，压缩,/kəm'prɛs/,/kəm'pres/,"Light silk is best for parachutes, as it compresses well and then expands rapidly.",轻质丝绸最适合制作降落伞，因为这种面料便于压缩，而且展开迅速。
en:comprise:noun:1,comprise,noun,(止血用)敷布,n (止血用)敷布,/kəm'praɪz/,/kəm'praɪz/,be comprised of,由…组成
en:compromise:noun:1,compromise,noun,妥协，折衷,n 妥协，折衷；v 妥协；使遭受危害,/'kɑmprəmaɪz/,/'kɒmprəmaɪz/,Compromise is an inevitable part of marriage.,妥协是婚姻生活中必不可少的。
en:compulsory:adjective:1,compulsory,adjective,义务的；强制的,adj 义务的；强制的,/kəm'pʌlsəri/,/kəm'pʌls(ə)rɪ/,the threat of compulsory redundancies,强制性裁员的威胁
en:compute:verb:1,compute,verb,计算，估计,v 计算，估计,/kəm'pjʊt/,/kəm'pjuːt/,Final results had not yet been computed.,最终的结果还未计算出来。
en:conceal:verb:1,conceal,verb,隐藏，隐蔽,v 隐藏，隐蔽,/kən'sil/,/kən'siːl/,The shadows concealed her as she crept up to the house.,她借着阴影蹑手蹑脚地走向房子。
en:concede:verb:1,concede,verb,承认; 给予,v 承认; 给予,/kən'sid/,/kən'siːd/,"‘That’s the only possible solution.’ ‘Yes, I suppose so,’ Charles conceded.",“那是唯一可行的解决办法。”“对，我想是。”查尔斯承认道。
en:conceive:verb:1,conceive,verb,想出(主意)；怀孕,v 想出(主意)；怀孕,/kən'siv/,/kən'siːv/,Scientists first conceived the idea of the atomic bomb in the 1930’s.,在20世纪30年代，科学家第一次有了原子弹的设想。
en:concentrate:verb:1,concentrate,verb,集中，全神贯注于；浓缩,v 集中，全神贯注于；浓缩；n 浓缩物,/'kɑnsn'tret/,/'kɒns(ə)ntreɪt/,Now please concentrate.,现在请集中注意力。
en:conception:noun:1,conception,noun,概念的形成，概念，想法；怀孕,n 概念的形成，概念，想法；怀孕,/kən'sɛpʃən/,/kən'sepʃ(ə)n/,the original conception of the book,此书最初的构想
en:concern:n:1,concern,"""n","所关切的事；企业；关心v影响,涉及,关心","""n 所关切的事；企业；关心v影响,涉及,关心；n """,/kən'sɝn/,/kən'sɜːn/,He was moved by her obvious concern.,她明显的关心使他感动。
en:concerted:adjective:1,concerted,adjective,商定的，一致的,adj 商定的，一致的,/kən'sɝtɪd/,/kən'sɜːtɪd/,Libraries have made a concerted effort to attract young people.,各图书馆同心协力吸引年轻人。
en:contemplate:verb:1,contemplate,verb,仔细考虑；注视；打算；预计,v 仔细考虑；注视；打算；预计,/'kɑntəmplet/,/'kɒntempleɪt; -təm-/,He had even contemplated suicide.,他甚至想过自杀。
en:contemporary:adjective:1,contemporary,adjective,同时代的，当代的,adj 同时代的，当代的；n 同龄人，同时代的人,/kən'tɛmpərɛri/,/kən'temp(ə)r(ər)ɪ/,She writes a lot of contemporary music for people like Whitney Houston.,她为惠特尼·休斯敦等人创作大量当代音乐作品。
en:contempt:noun:1,contempt,noun,轻蔑；不尊敬，轻视,n 轻蔑；不尊敬，轻视,/kən'tɛmpt/,/kən'tem(p)t/,The public is treated with contempt by broadcasters.,公众受到了节目主持人的轻蔑对待。
en:contend:verb:1,contend,verb,斗争，竞争，争论,v 斗争，竞争，争论,/kən'tɛnd/,/kən'tend/,"Inevitably, fights break out between the members of contending groups.",争权夺利的几个团体之间不可避免地发生了打斗。
