sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:academy:noun:1,academy,noun,学院；研究院；学会；专科院校,n 学院；研究院；学会；专科院校,/ə'kædəmi/,/ə'kædəmɪ/,the American Academy of Arts and Letters,美国艺术和文学学会
en:accelerate:verb:1,accelerate,verb,使……加快；使……增速,v 使……加快；使……增速,/əkˈsɛləˌret/,/ək'seləreɪt/,measures to accelerate the rate of economic growth,加快经济增长速度的措施
en:accent:noun:1,accent,noun,口音；重音；强调；特点；重音符号,n 口音；重音；强调；特点；重音符号；v 强调；重读；带…口音讲话,/'æksɛnt/,/'æks(ə)nt; -sent/,He had a strong Irish accent,他有浓重的爱尔兰口音。
en:accept:verb:1,accept,verb,接受；承认；承担；承兑；容纳,v 接受；承认；承担；承兑；容纳,/ækˈsɛpt; əkˈsɛpt/,/ə'ksept/,Rick accepted her offer of coffee.,她请里克喝咖啡，他接受了。
en:access:verb:1,access,verb,使用；存取；接近,v 使用；存取；接近；n 进入；使用权；通路,/'æksɛs/,/'ækses/,Users can access their voice mail remotely.,用户可以远程获取语音邮件。
en:accessible:adjective:1,accessible,adjective,易接近的；可进入的；可理解的,adj 易接近的；可进入的；可理解的,/ək'sɛsəbl/,/ək'sesɪb(ə)l/,The island is only accessible by boat.,这个岛只有坐船才能到。
en:anchor:noun:1,anchor,noun,锚；抛锚停泊；靠山；新闻节目主播,n 锚；抛锚停泊；靠山；新闻节目主播；v 抛锚；使固定；主持节目；adj 末棒的；最后一棒的,/'æŋkɚ/,/'æŋkə/,We dropped anchor a few yards offshore.,我们在离岸几码远的地方抛锚停航。
en:accident:noun:1,accident,noun,事故；意外；[法] 意外事件；机遇,n 事故；意外；[法] 意外事件；机遇,/'æksədənt/,/'æksɪdənt/,I met her quite by accident (= completely by accident ) .,我遇见她完全是偶然。
en:accommodation:noun:1,accommodation,noun,住处，膳宿；调节；和解；预订铺位,n 住处，膳宿；调节；和解；预订铺位,"/ə,kɑmə'deʃən/",/əkɒmə'deɪʃ(ə)n/,The price for the holiday includes flights and accommodation.,度假的价格包括机票和住宿。
en:accompany:verb:1,accompany,verb,陪伴，伴随；伴奏,v 陪伴，伴随；伴奏,/ə'kʌmpəni/,/ə'kʌmpənɪ/,Children under 14 must be accompanied by an adult.,14岁以下儿童必须有成人陪同。
en:accomplish:verb:1,accomplish,verb,完成；实现；达到,v 完成；实现；达到,/ə'kɑmplɪʃ/,/ə'kʌmplɪʃ; ə'kɒm-/,We have accomplished all we set out to do.,所有计划要做的事情，我们都已完成。
en:account:noun:1,account,noun,账户；解释；账目，账单；理由；描述,n 账户；解释；账目，账单；理由；描述；v 解释；导致；报账,/ə'kaʊnt/,/ə'kaʊnt/,My salary is paid into my bank account.,我的工资直接存入我的银行账户。
en:accountant:noun:1,accountant,noun,会计师；会计人员,n 会计师；会计人员,/ə'kaʊntənt/,/ə'kaʊnt(ə)nt/,The boss dropped an accountant from the payroll.,老板把一名会计师从在职人员名单中除了名。
en:accumulate:verb:1,accumulate,verb,累积；积聚,v 累积；积聚,/ə'kjumjəlet/,/ə'kjuːmjʊleɪt/,It is unjust that a privileged few should continue to accumulate wealth.,少数特权阶级继续积聚财富，这是不公平的。
en:accuracy:noun:1,accuracy,noun,[数] 精确度，准确性,n [数] 精确度，准确性,/'ækjərəsi/,/'ækjʊrəsɪ/,He passes the ball with unerring accuracy.,他传球准确无误。
en:accuse:verb:1,accuse,verb,控告，指控；谴责；归咎于,v 控告，指控；谴责；归咎于,/ə'kjuz/,/ə'kjuːz/,The professor stands accused of (= has been accused of ) stealing his student’s ideas and publishing them.,那位教授被指控剽窃学生的观点拿去发表。
en:accustomed:adjective:1,accustomed,adjective,习惯的；通常的；独有的,adj 习惯的；通常的；独有的；v 使习惯于（accustom的过去分词）,/ə'kʌstəmd/,/ə'kʌstəmd/,The pans were in their accustomed places.,那些锅在老地方。
en:ache:verb:1,ache,verb,疼痛；渴望,v 疼痛；渴望；n 疼痛,/ek/,/eɪk/,His feet were aching from standing so long.,他站了那么久，双脚隐隐作痛。
en:achieve:verb:1,achieve,verb,取得；获得；实现；成功,v 取得；获得；实现；成功,/ə'tʃiv/,/ə'tʃiːv/,Frances achieved very good exam results.,弗朗西丝考试取得了优异成绩。
en:achievement:noun:1,achievement,noun,成就；完成；达到；成绩,n 成就；完成；达到；成绩,/ə'tʃivmənt/,/ə'tʃiːvm(ə)nt/,His great achievement is to make all the players into a united team.,他的伟大成就在于把所有选手组织成一支团结的队伍。
en:acid:noun:1,acid,noun,酸；<俚>迷幻药,n 酸；<俚>迷幻药；adj 酸的；讽刺的；刻薄的,/'æsɪd/,/'æsɪd/,sulphuric acid,硫酸
en:acknowledge:verb:1,acknowledge,verb,承认；答谢；报偿；告知已收到,v 承认；答谢；报偿；告知已收到,/ək'nɑlɪdʒ/,/ək'nɒlɪdʒ/,The family acknowledge the need for change.,全家人都承认需要改变一下。
en:acquaintance:noun:1,acquaintance,noun,熟人；相识；了解；知道,n 熟人；相识；了解；知道,/ə'kwentəns/,/ə'kweɪnt(ə)ns/,She was a casual acquaintance of my family in Vienna.,她是我们家在维也纳的一个交情不深的朋友。
en:acquire:verb:1,acquire,verb,获得；取得；学到；捕获,v 获得；取得；学到；捕获,/ə'kwaɪr/,/ə'kwaɪə/,Manning hoped to acquire valuable works of art as cheaply as possible.,曼宁希望以尽可能低的价格买到有价值的艺术品。
en:acquisition:noun:1,acquisition,noun,获得物，获得；收购,n 获得物，获得；收购,"/,ækwɪ'zɪʃən/","/,ækwɪ'zɪʃ(ə)n/",the acquisition of language,语言的习得
en:acre:noun:1,acre,noun,土地，地产；英亩,n 土地，地产；英亩,/'ekɚ/,/'eɪkə/,They own 200 acres of farmland.,他们拥有200英亩农田。
en:across:preposition:1,across,preposition,穿过；横穿,prep 穿过；横穿；adv 横过；在对面,/ə'krɔs/,/ə'krɒs/,We can gain some time if we cut across this field.,我们如果抄近路穿过这片田野可以省下一些时间。
en:act:verb:1,act,verb,扮演；装作，举动像,v 扮演；装作，举动像；n 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势,/ækt/,/ækt/,I first started acting when I was 12 years old.,我12岁开始演戏。
en:action:noun:1,action,noun,行动；活动；功能；战斗；情节,n 行动；活动；功能；战斗；情节,/'ækʃən/,/'ækʃ(ə)n/,The government must take action (= do something ) now to stop the rise in violent crime.,政府现在必须采取行动遏止暴力犯罪的上升。
en:active:adjective:1,active,adjective,积极的；活跃的；主动的；有效的；现役的,adj 积极的；活跃的；主动的；有效的；现役的；n 主动语态；积极分子,/'æktɪv/,/'æktɪv/,games for active youngsters,活跃好动的年轻人玩的游戏
en:activity:noun:1,activity,noun,活动；行动；活跃,n 活动；行动；活跃,/æk'tɪviti/,/æk'tɪvɪtɪ/,Everyone is free to engage in peaceful political activity.,每个人都可以自由参加和平的政治活动。
en:actor:noun:1,actor,noun,男演员；行动者；作用物,n 男演员；行动者；作用物,/'æktɚ/,/'æktə/,His father was an actor in the Cantonese Opera Company.,他父亲曾是粤剧团的一名演员。
en:actress:noun:1,actress,noun,女演员,n 女演员,/'æktrɪs/,/'æktrɪs/,She's not only a great dramatic actress but she's also very funny.,她不仅是一位伟大的女戏剧演员，而且也很幽默。
en:actual:adjective:1,actual,adjective,真实的，实际的；现行的，目前的,adj 真实的，实际的；现行的，目前的,/'æktʃuəl/,/'æktʃʊəl; -tjʊəl/,I’m not joking. Those were his actual words.,我没开玩笑，那都是他的原话。
en:acute:adjective:1,acute,adjective,严重的，[医] 急性的；敏锐的；激烈的；尖声的,adj 严重的，[医] 急性的；敏锐的；激烈的；尖声的,/ə'kjut/,/ə'kjuːt/,The housing shortage is more acute than first thought.,住房短缺情况比一开始想的要严重。
en:ad:noun:1,AD,noun,公元；广告（ad）,n 公元；广告（ad）,,,ad hoc,adj. 特别的；临时；专设
en:adapt:verb:1,adapt,verb,使适应；改编,v 使适应；改编,/ə'dæpt/,/ə'dæpt/,The ability to adapt is a definite asset in this job.,适应能力是做这份工作的绝对有利条件。
en:adaptation:noun:1,adaptation,noun,适应；改编；改编本，改写本,n 适应；改编；改编本，改写本,"/,ædæp'teʃən/",/ædəp'teɪʃ(ə)n/,Branagh won two awards for his screen adaptation of Shakespeare's Henry the Fifth.,布拉纳因他对莎士比亚的《亨利五世》的荧幕改编而获了两次奖。
en:add:verb:1,add,verb,加；增加；加起来；做加法,v 加；增加；加起来；做加法；n 加法，加法运算,/æd/,/æd/,"If the mixture seems dry, add water.",如果混合物看上去干，加点水。
en:addicted:adjective:1,addicted,adjective,沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的,adj 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的；v 使…上瘾（addict的过去分词）,/ə'dɪktɪd/,/ə'dɪktɪd/,Many of the women are addicted to heroin and cocaine.,这些妇女中的很多吸食海洛因和可卡因成瘾。
en:addition:noun:1,addition,noun,添加；[数] 加法；增加物,n 添加；[数] 加法；增加物,/ə'dɪʃən/,/ə'dɪʃ(ə)n/,This is a fine book; a worthy addition to the series.,这是一本好书——是对这套丛书有价值的增补。
en:address:verb:1,address,verb,演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理,v 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理；n 地址；演讲；致辞；说话的技巧；称呼,/ə'drɛs/,/ə'dres/,"Send a stamped, self-addressed envelope (= with your address on it so it can be sent back to you ) .",寄上一个贴好邮票的、写有回邮地址的信封。
en:adequate:adjective:1,adequate,adjective,充足的；适当的；胜任的,adj 充足的；适当的；胜任的,/ˈædɪkwət/,/'ædɪkwət/,Farmers have been slow to make adequate provision for their retirement.,农民们迟迟没有为退休做好适当安排。
en:adjust:verb:1,adjust,verb,调整，使…适合；校准,v 调整，使…适合；校准,/ə'dʒʌst/,/ə'dʒʌst/,Check and adjust the brakes regularly.,经常检查并调节刹车装置。
en:adjustment:noun:1,adjustment,noun,调整，调节；调节器,n 调整，调节；调节器,/ə'dʒʌstmənt/,/ə'dʒʌs(t)m(ə)nt/,a period of adjustment,一段调整期
en:administration:noun:1,administration,noun,管理；行政；实施；行政机构,n 管理；行政；实施；行政机构,"/əd,mɪnɪ'streʃən/",/ədmɪnɪ'streɪʃ(ə)n/,We’re looking for someone with experience in administration.,我们正在寻找一个有管理经验的人。
en:admirable:adjective:1,admirable,adjective,令人钦佩的；极好的；值得赞扬的,adj 令人钦佩的；极好的；值得赞扬的,/'ædmərəbl/,/'ædm(ə)rəb(ə)l/,an admirable achievement,令人钦佩的成就
en:admire:verb:1,admire,verb,钦佩；赞美,v 钦佩；赞美,/ədˈmaɪr/,/əd'maɪə/,I really admire the way she brings up those kids all on her own.,我十分佩服她独力把那些孩子抚养大。
en:admission:noun:1,admission,noun,承认；入场费；进入许可；坦白；录用,n 承认；入场费；进入许可；坦白；录用,/əd'mɪʃən/,/əd'mɪʃ(ə)n/,"Reese, by his own admission , lacks the necessary experience.",里斯自己也承认缺乏必要的经验。
en:admit:verb:1,admit,verb,承认；准许进入；可容纳,v 承认；准许进入；可容纳,/əd'mɪt/,/əd'mɪt/,"‘Okay, so maybe I was a little bit scared,’ Jenny admitted.",“行了，也许我是有点害怕。”珍妮承认道。
en:adolescence:noun:1,adolescence,noun,青春期,n 青春期,"/,ædə'lɛsns/",/ædə'les(ə)ns/,Some young people suddenly become self-conscious and tongue-tied in early adolescence.,一些年青人在青春期早期突然变得害羞结舌。
en:adolescent:adjective:1,adolescent,adjective,青春期的；未成熟的,adj 青春期的；未成熟的；n 青少年,"/,ædə'lɛsnt/",/ædə'les(ə)nt/,It is important that an adolescent boy should have an adult in whom he can confide.,一个青春期男孩应该有一个他能倾吐心声的成年人，这是很重要的。
en:adopt:verb:1,adopt,verb,采取；接受；收养；正式通过,v 采取；接受；收养；正式通过,/ə'dɑpt/,/ə'dɒpt/,Sally was adopted when she was four.,莎莉四岁时被人收养。
en:adore:verb:1,adore,verb,崇拜；爱慕；喜爱；极喜欢,v 崇拜；爱慕；喜爱；极喜欢；n (Adore)人名；(法)阿多尔,/ə'dɔr/,/ə'dɔː/,Betty adores her grandchildren.,贝蒂非常宠爱孙辈。
en:adult:adjective:1,adult,adjective,成年的；成熟的,adj 成年的；成熟的；n 成年人,/'ædʌlt/,/'ædʌlt; ə'dʌlt/,an adult lion,一头成年的狮子
en:advance:noun:1,advance,noun,发展；前进；增长；预付款,n 发展；前进；增长；预付款；v 提出；预付；使……前进；将……提前；adj 预先的；先行的,/əd'væns/,/əd'vɑːns/,a major advance,一项重大进展
en:advantage:noun:1,advantage,noun,优势；利益；有利条件,n 优势；利益；有利条件；v 获利,/əd'væntɪdʒ/,/əd'vɑːntɪdʒ/,Younger workers tend to be at an advantage (= have an advantage ) when applying for jobs.,年轻点的工人申请工作时往往处于优势地位。
en:adventure:noun:1,adventure,noun,冒险；冒险精神；投机活动,n 冒险；冒险精神；投机活动；v 冒险；大胆说出,/əd'vɛntʃɚ/,/əd'ventʃə/,Come on – where’s your sense of adventure?,来吧——你的冒险精神哪里去了？
en:advertise:verb:1,advertise,verb,通知；为…做广告；使突出,v 通知；为…做广告；使突出,/'ædvɚtaɪz/,/'ædvətaɪz/,They no longer advertise alcohol or cigarettes at sporting events.,他们不再在体育赛事上做烟酒广告了。
en:advertisement:noun:1,advertisement,noun,广告，宣传,n 广告，宣传,"/,ædvɚ'taɪzmənt/",/əd'vɜːtɪzm(ə)nt; -tɪs-/,"They put an advertisement in ‘The Morning News’, offering a high salary for the right person.",他们在《晨报》上刊登了一则启事，出高薪寻找合适的人选。
en:advice:noun:1,advice,noun,建议；忠告；劝告；通知,n 建议；忠告；劝告；通知,/ædˈvaɪs; əd'vaɪs/,/əd'vaɪs/,You should have followed my advice.,你真该听我的建议。
en:advise:verb:1,advise,verb,建议；劝告，忠告；通知；警告,v 建议；劝告，忠告；通知；警告,/əd'vaɪz/,/əd'vaɪz/,She needed someone to advise her.,她需要有个人给她出主意。
en:advocate:verb:1,advocate,verb,提倡，主张，拥护,v 提倡，主张，拥护；n 提倡者；支持者；律师,/ˈædvəkeɪt；-et/,/'ædvəkeɪt；-ət/,Extremists were openly advocating violence.,极端主义者公开鼓吹使用暴力。
en:aeroplane:noun:1,aeroplane,noun,飞机（等于airplane）,n 飞机（等于airplane）,/'ɛrə'plen/,/'eərəpleɪn/,The aeroplane landed us at the airport in Barcelona.,飞机把我们降落在巴塞罗那机场。
en:affair:noun:1,affair,noun,事情；事务；私事；（尤指关系不长久的）风流韵事,n 事情；事务；私事；（尤指关系不长久的）风流韵事,/ə'fɛr/,/ə'feə/,Are you interested in world affairs?,你对世界大事感兴趣吗？
en:affect:verb:1,affect,verb,影响；感染；感动；假装,v 影响；感染；感动；假装；n 情感；引起感情的因素,/ə'fɛkt/,/ə'fekt/,the areas affected by the hurricane,受飓风影响的地区
en:affection:noun:1,affection,noun,喜爱，感情；影响；感染,n 喜爱，感情；影响；感染,/ə'fɛkʃən/,/ə'fekʃ(ə)n/,She looked back on those days with affection .,她深情地回顾那些日子。
en:afford:verb:1,afford,verb,给予，提供；买得起,v 给予，提供；买得起；n (Afford)人名；(英)阿福德,/ə'fɔrd/,/ə'fɔːd/,The room affords a beautiful view over the city.,这房间可以俯瞰城市美景。
en:afraid:adjective:1,afraid,adjective,害怕的；恐怕；担心的,adj 害怕的；恐怕；担心的,/ə'fred/,/ə'freɪd/,There’s no need to be afraid.,没有必要害怕。
en:africa:noun:1,Africa,noun,非洲,n 非洲,/ˈæfrɪkə/,/'æfrɪkə/,The giraffe ranges in Africa.,长颈鹿生长在非洲。
en:african:adjective:1,African,adjective,非洲的，非洲人的,adj 非洲的，非洲人的；n 非洲人,/'æfrɪkən/,/'æfrɪk(ə)n/,...the African continent.,…非洲大陆。
en:after:adverb:1,after,adverb,后来，以后,adv 后来，以后；prep 在……之后；conj 在……之后；adj 以后的,/'æftɚ/,/'ɑːftə/,Tomorrow. Or the day after.,明天。或者后天。
en:afternoon:noun:1,afternoon,noun,午后，下午,n 午后，下午,"/,æftɚ'nun/",/ɑːftə'nuːn/,There’s a meeting on Thursday afternoon .,星期四下午有个会议。
en:afterward:adverb:1,afterward,adverb,以后，后来,adv 以后，后来,/ˈæftərwərd/,/'ɑːftəwəd/,"Shortly afterward, police arrested four suspects.",之后不久，警方逮捕了４名嫌疑犯。
en:again:adverb:1,again,adverb,又，此外；再一次；再说；增加,adv 又，此外；再一次；再说；增加；n （英、保）阿盖恩,/ə'ɡɛn/,/ə'gen; ə'geɪn/,Can you say that again? I didn’t hear.,你能再说一遍吗？ 我没听见。
en:against:preposition:1,against,preposition,反对，违反；靠；倚；防备,prep 反对，违反；靠；倚；防备；adj 不利的；对立的,/ə'ɡɛnst/,/ə'genst; ə'geɪnst/,There was a ladder propped up against the wall.,有一把梯子靠在墙边。
en:age:noun:1,age,noun,年龄；时代；寿命，使用年限；阶段,n 年龄；时代；寿命，使用年限；阶段；v 成熟；变老,/edʒ/,/eɪdʒ/,Francis is the same age as me.,弗朗西斯和我同年岁。
en:agency:noun:1,agency,noun,代理，中介；代理处，经销处,n 代理，中介；代理处，经销处,/'edʒənsi/,/'eɪdʒ(ə)nsɪ/,a UN agency responsible for helping refugees,负责为难民提供帮助的联合国机构
en:agenda:noun:1,agenda,noun,议程；日常工作事项；日程表,n 议程；日常工作事项；日程表,/ə'dʒɛndə/,/ə'dʒendə/,The Republicans have stuck to their conservative agenda.,共和党人坚持自己的保守议题。
en:agent:noun:1,agent,noun,代理人，代理商；药剂；特工,n 代理人，代理商；药剂；特工；vt 由…作中介；由…代理；adj 代理的,/'edʒənt/,/'eɪdʒ(ə)nt/,Our agent in Rio deals with all our Brazilian business.,我们在里约热内卢的业务代表处理我们在巴西的全部业务。
en:aggression:noun:1,aggression,noun,侵略；进攻；侵犯；侵害,n 侵略；进攻；侵犯；侵害,/ə'ɡrɛʃən/,/ə'greʃ(ə)n/,an unprovoked act of aggression,无端的侵犯
en:aggressive:adjective:1,aggressive,adjective,侵略性的；好斗的；有进取心的；有闯劲的,adj 侵略性的；好斗的；有进取心的；有闯劲的,/ə'ɡrɛsɪv/,/ə'gresɪv/,Jim’s voice became aggressive.,吉姆的声音凶了起来。
en:ago:adverb:1,ago,adverb,以前，以往,adv 以前，以往；adj 以前的；过去的；n (Ago)人名；(英、西、意、塞、瑞典)阿戈,/ə'ɡo/,/ə'gəʊ/,They moved to a new house some time ago (= a fairly long time ago ) .,他们搬进新居已有些日子了。
en:agree:verb:1,agree,verb,同意，赞成；承认；约定，商定,v 同意，赞成；承认；约定，商定,/ə'ɡri/,/ə'griː/,Teenagers and their parents rarely agree.,十几岁的孩子跟父母意见很少一致。
en:agreement:noun:1,agreement,noun,协议；同意，一致,n 协议；同意，一致,/ə'grimənt/,/ə'griːm(ə)nt/,It is easier for two parties to reach agreement than for three.,两方达成一致比三方达成一致容易。
en:agricultural:adjective:1,agricultural,adjective,农业的；农艺的,adj 农业的；农艺的,"/,ægrɪ'kʌltʃərəl/",/æɡrɪ'kʌltʃərəl/,Farmers struggling for survival strip the forests for agricultural land.,为生存而挣扎的农民们把森林伐光来作农业用地。
en:agriculture:noun:1,agriculture,noun,农业；农耕；农业生产；农艺，农学,n 农业；农耕；农业生产；农艺，农学,/'æɡrɪkʌltʃɚ/,/'ægrɪkʌltʃə/,More than 75% of the land is used for agriculture.,75%以上的土地用于农耕。
en:ahead:adjective:1,ahead,adjective,向前；在前的；领先,adj 向前；在前的；领先；adv 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来,/ə'hɛd/,/ə'hed/,He kept his gaze fixed on the car ahead.,他的目光一直盯着前面的那辆汽车。
en:aid:noun:1,aid,noun,援助；帮助；助手；帮助者,n 援助；帮助；助手；帮助者；v 援助；帮助；有助于,/ed/,/eɪd/,Foreign aid from many countries poured into the famine area.,来自许多国家的救援物资纷纷送到饥荒地区。
en:aids:adjective:1,AIDS,adjective,获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）,abbr 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）,/edz/,,aids virus,艾滋病病毒
en:aim:verb:1,aim,verb,目的在于；引导；把…对准,v 目的在于；引导；把…对准；n 目的；目标；对准,/em/,/eɪm/,Denver aimed his gun but did not shoot.,丹佛举枪瞄准，但是没有射击。
en:air:noun:1,air,noun,空气，大气；天空；样子；曲调,n 空气，大气；天空；样子；曲调；v 使通风，晾干；夸耀,/ɛr/,/eə/,Let’s go outside and get some fresh air.,我们出去呼吸些新鲜空气吧。
en:aircraft:noun:1,aircraft,noun,飞机，航空器,n 飞机，航空器,/'ɛr'kræft/,/'eəkrɑːft/,The return flight of the aircraft was delayed.,飞机的返回航程被推迟了。
en:airline:noun:1,airline,noun,航空公司；航线,n 航空公司；航线；adj 航线的,/'ɛrlaɪn/,/'eəlaɪn/,an airline pilot,航空公司飞行员
en:airmail:noun:1,airmail,noun,航空邮件,n 航空邮件,/'ɛrmel/,/'eəmeɪl/,Send the letter by airmail.,这封信用航空邮寄。
en:airplane:noun:1,airplane,noun,飞机,n 飞机,/ˈerpleɪn/,/'eəpleɪn/,The airplane cracked up in landing.,这架飞机在着陆时坠毁。
en:airport:noun:1,airport,noun,机场；航空站,n 机场；航空站,/'ɛr'pɔrt/,/'eəpɔːt/,The plane landed at Heathrow Airport.,飞机降落在希思罗机场。
en:airspace:noun:1,airspace,noun,空域；领空；空间,n 空域；领空；空间,/'ɛr'spes/,/'eəspeɪs/,Canadian airspace,加拿大领空
en:alarm:noun:1,alarm,noun,闹钟；警报，警告器；惊慌,n 闹钟；警报，警告器；惊慌；v 警告；使惊恐,/ə'lɑrm/,/ə'lɑːm/,I forgot to set the burglar alarm.,我忘记打开防盗警报器了。
en:album:noun:1,album,noun,相簿；唱片集；集邮簿；签名纪念册,n 相簿；唱片集；集邮簿；签名纪念册,/'ælbəm/,/'ælbəm/,a photograph album,相册
en:alcohol:noun:1,alcohol,noun,酒精，乙醇,n 酒精，乙醇,/'ælkəhɔl/,/'ælkəhɒl/,I don’t drink alcohol anymore.,我不再喝酒了。
en:alcoholic:adjective:1,alcoholic,adjective,酒精的，含酒精的,adj 酒精的，含酒精的；n 酒鬼，酗酒者,"/,ælkə'hɔlɪk/",/ælkə'hɒlɪk/,alcoholic drinks,酒精饮料
en:algebra:noun:1,algebra,noun,代数学,n 代数学,/'ældʒɪbrə/,/'ældʒɪbrə/,"My behavior is on behalf of half zebras,"" the algebra teacher said.","""我的行为代表了一半斑马的利益,""代数老师说."
